ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,29.84,multiply,"multiply(float *, int..","63,52","18,95","24,34","70,16",16,"   42,   33,    1","   32,   32,    1"
1,84.81,rowCumSum,rowCumSum(float..,"660,42","560,08","2,98","18,67",22,"   33,    1,    1","   32,    1,    1"
2,90.90,colCumSum,colCumSum(float..,"581,12","528,26","1,28","9,10",32,"   42,    1,    1","   32,    1,    1"
3,55.30,multiply,"multiply(float *, int..","12,03","6,65","19,53","43,23",16,"   15,   14,    1","   32,   32,    1"
4,94.02,rowCumSum,rowCumSum(float..,"315,81","296,93","1,22","5,98",22,"   14,    1,    1","   32,    1,    1"
5,93.75,colCumSum,colCumSum(float..,"240,51","225,47","0,46","2,56",32,"   15,    1,    1","   32,    1,    1"
6,28.00,padToZero,padToZero(const..,"93,54","26,19","32,24","82,87",16,"  118,   92,    1","   16,   16,    1"
7,28.87,padToZero,padToZero(const..,"73,70","21,28","32,22","80,54",16,"  118,   92,    1","   16,   16,    1"
8,17.53,kernel_wrapper,..packR2C_kernel_Odd_impl..,"140,10","24,56","30,66","82,47",16,"10679,    1,    1","  256,    1,    1"
9,24.78,vector_fft,..vector_fft..kernel_arguments_t..,"199,14","49,34","52,01","80,51",64," 1458,    1,    1","  125,    1,    1"
10,10.87,postprocess_kernel,..postprocess_kernel..,"125,12","13,60","26,22","91,10",24," 5343,    1,    1","  256,    1,    1"
11,37.61,regular_fft,..regular_fft..kernel_arguments_t..,"243,07","91,41","20,85","38,39",73,"  235,    1,    1","    4,  162,    1"
12,17.71,kernel_wrapper,..packR2C_kernel_Odd_impl..,"138,85","24,59","30,67","82,29",16,"10679,    1,    1","  256,    1,    1"
13,24.98,vector_fft,..vector_fft..kernel_arguments_t..,"200,06","49,97","52,25","79,93",64," 1458,    1,    1","  125,    1,    1"
14,10.86,postprocess_kernel,..postprocess_kernel..,"125,38","13,62","26,24","91,01",24," 5343,    1,    1","  256,    1,    1"
15,37.48,regular_fft,..regular_fft..kernel_arguments_t..,"244,99","91,83","20,99","38,79",73,"  235,    1,    1","    4,  162,    1"
16,10.49,mulConjAndScale,mulConjAndScale(float2..,"130,37","13,68","14,73","91,76",16,"   59,   92,    1","   16,   16,    1"
17,37.36,regular_fft,..regular_fft..kernel_arguments_t..,"241,18","90,12","21,02","37,80",73,"  235,    1,    1","    4,  162,    1"
18,18.33,preprocess_kernel,..preprocess_kernel..,"136,45","25,01","56,55","81,67",27,"10679,    1,    1","  256,    1,    1"
19,25.04,vector_fft,..vector_fft..kernel_arguments_t..,"200,70","50,26","52,09","80,20",64," 1458,    1,    1","  125,    1,    1"
20,10.09,kernel_wrapper,..unpackC2R_kernel_Odd_impl..,"127,26","12,84","31,26","89,91",16,"10679,    1,    1","  256,    1,    1"
21,22.26,normalize,normalize(float..,"94,62","21,06","23,77","77,74",16,"10679,    1,    1","  256,    1,    1"
22,17.52,computeSSD,computeSSD(float..,"50,24","8,80","25,72","82,48",22,"   27,   19,    1","   32,   32,    1"
23,75.26,convertBGRtoUchar3Kernel,convertBGRtoUchar3Kernel..,"96,70","72,78","30,86","55,17",16,"   83,   65,    1","   16,   16,    1"
24,34.89,countBluePixelsKernel,countBluePixelsKernel..,"18,91","6,60","47,56","15,90",19,"   30,   27,    1","   16,   16,    1"
